,a,b,jTarget,ox1T5.0,ox2T5.0,oy1T5.0,oy2T5.0,oz1T5.0,oz2T5.0,ox1T10.0,ox2T10.0,oy1T10.0,oy2T10.0,oz1T10.0,oz2T10.0,ox1T15.0,ox2T15.0,oy1T15.0,oy2T15.0,oz1T15.0,oz2T15.0,ox1T20.0,ox2T20.0,oy1T20.0,oy2T20.0,oz1T20.0,oz2T20.0,ox1T25.0,ox2T25.0,oy1T25.0,oy2T25.0,oz1T25.0,oz2T25.0
0,1.0,1.0,0.0,0.49751568,0.49751568,0.70709807,0.70709807,0.5024843,0.5024843,2.4687602e-05,2.4687602e-05,-0.0070266626,-0.0070266626,0.9999753,0.9999753,0.5074527,0.5074527,-0.7070282,-0.7070282,0.49254724,0.49254724,0.99990124,0.99990124,0.014052631,0.014052631,9.874797e-05,9.874797e-05,0.48757958,0.48757958,0.70688856,0.70688856,0.5124204,0.5124204
1,1.0,1.0,0.1,0.38821235,0.38821235,0.6884001,0.6884001,0.5884976,0.5884976,0.02601841,0.02601841,-0.27093014,-0.27093014,0.92767227,0.92767227,0.7814657,0.7814657,-0.50410277,-0.50410277,0.22856615,0.22856615,0.7399213,0.7399213,0.46310735,0.46310735,0.24684146,0.24684146,0.10616374,0.10616374,0.18847881,0.18847881,0.84603184,0.84603184
2,1.0,1.0,0.2,0.2590739,0.2590739,0.6135232,0.6135232,0.67467827,0.67467827,0.20276459,0.20276459,-0.49495584,-0.49495584,0.72592807,0.72592807,0.92452824,0.92452824,0.018306164,0.018306164,0.10937515,0.10937515,0.18003719,0.18003719,0.43603325,0.43603325,0.7399759,0.7399759,0.3230897,0.3230897,-0.61406183,-0.61406183,0.6120735,0.6120735
3,1.0,1.0,0.3,0.1284993,0.1284993,0.48541903,0.48541903,0.7481403,0.7481403,0.48664457,0.48664457,-0.5760352,-0.5760352,0.45115775,0.45115775,0.7527911,0.7527911,0.5314828,0.5314828,0.25306708,0.25306708,-0.07363778,-0.07363778,-0.16210069,-0.16210069,0.92787254,0.92787254,0.9066363,0.9066363,-0.3939071,-0.3939071,0.10545899,0.10545899
4,1.0,1.0,0.4,0.01706388,0.01706388,0.31501174,0.31501174,0.79672647,0.79672647,0.77989715,0.77989715,-0.45825866,-0.45825866,0.19287767,0.19287767,0.3302676,0.3302676,0.6632038,0.6632038,0.56833273,0.56833273,0.32090074,0.32090074,-0.6397395,-0.6397395,0.57586443,0.57586443,0.7693772,0.7693772,0.4752074,0.4752074,0.21319737,0.21319737
5,1.0,1.0,0.5,-0.057531863,-0.057531863,0.119012415,0.119012415,0.81209904,0.81209904,0.96942294,0.96942294,-0.17207332,-0.17207332,0.03474561,0.03474561,-0.033466812,-0.033466812,0.3122705,0.3122705,0.8040803,0.8040803,0.89278024,0.89278024,-0.36377382,-0.36377382,0.10893996,0.10893996,0.04839373,0.04839373,0.4307416,0.4307416,0.7426033,0.7426033
6,1.0,1.0,0.6,-0.084115714,-0.084115714,-0.083708085,-0.083708085,0.79141575,0.79141575,0.979355,0.979355,0.1759137,0.1759137,0.01725673,0.01725673,-0.04694194,-0.04694194,-0.2508141,-0.2508141,0.76573914,0.76573914,0.9174793,0.9174793,0.33532214,0.33532214,0.06519833,0.06519833,0.032416165,0.032416165,-0.40634015,-0.40634015,0.7091138,0.7091138
7,1.0,1.0,0.7,-0.059200585,-0.059200585,-0.2757435,-0.2757435,0.73707515,0.73707515,0.80557936,0.80557936,0.4535468,0.4535468,0.12334875,0.12334875,0.30077428,0.30077428,-0.61128205,-0.61128205,0.4764575,0.4764575,0.38371447,0.38371447,0.5997912,0.5997912,0.40893692,0.40893692,0.73799664,0.73799664,-0.51921076,-0.51921076,0.15796942,0.15796942
8,1.0,1.0,0.8,0.013992293,0.013992293,-0.44328234,-0.44328234,0.65492404,0.65492404,0.5153029,0.5153029,0.56109273,0.56109273,0.29140612,0.29140612,0.73676074,0.73676074,-0.5454506,-0.5454506,0.13393998,0.13393998,-0.039583266,-0.039583266,0.18248102,0.18248102,0.6547513,0.6547513,0.9533027,0.9533027,0.21973954,0.21973954,-0.029927572,-0.029927572
9,1.0,1.0,0.9,0.12707187,0.12707187,-0.57605225,-0.57605225,0.551981,0.551981,0.2178821,0.2178821,0.47073537,0.47073537,0.4437664,0.4437664,0.9500809,0.9500809,-0.16433066,-0.16433066,-0.067125164,-0.067125164,0.065505795,0.065505795,-0.3460162,-0.3460162,0.5254166,0.5254166,0.42351732,0.42351732,0.6398529,0.6398529,0.31362346,0.31362346
10,1.0,1.0,1.0,0.2668766,0.2668766,-0.6657318,-0.6657318,0.43483907,0.43483907,0.01884821,0.01884821,0.24149165,0.24149165,0.51737654,0.51737654,0.85979855,0.85979855,0.24363336,0.24363336,-0.07163996,-0.07163996,0.46443817,0.46443817,-0.4702284,-0.4702284,0.20622723,0.20622723,-0.098490365,-0.098490365,0.27257204,0.27257204,0.6420626,0.6420626
11,1.0,1.0,1.1,0.4143381,0.4143381,-0.7046599,-0.7046599,0.3094473,0.3094473,-0.035811976,-0.035811976,0.002464533,0.002464533,0.49121317,0.49121317,0.6270333,0.6270333,0.51698786,0.51698786,0.05669699,0.05669699,0.8493023,0.8493023,-0.20962243,-0.20962243,-0.0055847904,-0.0055847904,0.05240347,0.05240347,-0.48287082,-0.48287082,0.55352664,0.55352664
12,1.0,1.0,1.2,0.5436717,0.5436717,-0.6868436,-0.6868436,0.18215849,0.18215849,0.0019392836,0.0019392836,-0.11815915,-0.11815915,0.40278232,0.40278232,0.3568088,0.3568088,0.67272747,0.67272747,0.2669311,0.2669311,0.964723,0.964723,0.24783409,0.24783409,0.017288301,0.017288301,0.72327536,0.72327536,-0.6142958,-0.6142958,0.10100661,0.10100661
13,1.0,1.0,1.3,0.62551314,0.62551314,-0.6119172,-0.6119172,0.06113592,0.06113592,0.025125787,0.025125787,-0.10846139,-0.10846139,0.33069098,0.33069098,0.004196606,0.004196606,0.56080824,0.56080824,0.5240229,0.5240229,0.51033026,0.51033026,0.41602165,0.41602165,0.1780365,0.1780365,0.7630906,0.7630906,-0.058471877,-0.058471877,-0.17429714,-0.17429714
14,1.0,1.0,1.4,0.63688713,0.63688713,-0.49020573,-0.49020573,-0.043158863,-0.043158863,0.012376457,0.012376457,-0.12000759,-0.12000759,0.32791921,0.32791921,-0.20989498,-0.20989498,-0.029178195,-0.029178195,0.62882614,0.62882614,0.15503791,0.15503791,0.23193327,0.23193327,0.18072733,0.18072733,0.79033065,0.79033065,0.49027535,0.49027535,-0.028771257,-0.028771257
15,1.0,1.0,1.5,0.5764715,0.5764715,-0.34491125,-0.34491125,-0.119352765,-0.119352765,0.10390547,0.10390547,-0.31237847,-0.31237847,0.35196936,0.35196936,-0.006621254,-0.006621254,-0.5356892,-0.5356892,0.38738778,0.38738778,0.07282226,0.07282226,0.5167113,0.5167113,0.29058358,0.29058358,0.22525014,0.22525014,0.46176383,0.46176383,0.3478981,0.3478981
16,1.0,1.0,1.6,0.47694847,0.47694847,-0.20769067,-0.20769067,-0.15841877,-0.15841877,0.40164378,0.40164378,-0.6003694,-0.6003694,0.29018196,0.29018196,0.12530763,0.12530763,-0.2674566,-0.2674566,0.12114554,0.12114554,-0.22551946,-0.22551946,0.007207812,0.007207812,0.59945995,0.59945995,0.048909653,0.048909653,0.10473429,0.10473429,0.16256532,0.16256532
17,1.0,1.0,1.7,0.40208995,0.40208995,-0.10750144,-0.10750144,-0.15764856,-0.15764856,0.6805959,0.6805959,-0.6782755,-0.6782755,0.09702733,0.09702733,0.009823264,0.009823264,-0.08188421,-0.08188421,0.21812798,0.21812798,0.124961704,0.124961704,-0.6254826,-0.6254826,0.2260704,0.2260704,-0.2004099,-0.2004099,0.28897807,0.28897807,0.52203697,0.52203697
18,1.0,1.0,1.8,0.42046767,0.42046767,-0.057920653,-0.057920653,-0.12347789,-0.12347789,0.58700013,0.58700013,-0.42234454,-0.42234454,-0.11397686,-0.11397686,0.43020216,0.43020216,-0.58972883,-0.58972883,0.25794134,0.25794134,-0.01823657,-0.01823657,0.0066676624,0.0066676624,0.12919904,0.12919904,0.14428438,0.14428438,-0.6277651,-0.6277651,0.178741,0.178741
19,1.0,1.0,1.9,0.56213254,0.56213254,-0.051175766,-0.051175766,-0.07147918,-0.07147918,0.2756322,0.2756322,-0.11451739,-0.11451739,-0.17942601,-0.17942601,0.63754445,0.63754445,-0.5384308,-0.5384308,-0.05885522,-0.05885522,0.46803325,0.46803325,-0.64375687,-0.64375687,0.2412845,0.2412845,-0.04246296,-0.04246296,-0.06360258,-0.06360258,0.2474195,0.2474195
20,1.0,1.0,2.0,0.7824337,0.7824337,-0.06424439,-0.06424439,-0.022837857,-0.022837857,0.364685,0.364685,-0.051326856,-0.051326856,-0.086073875,-0.086073875,0.17673588,0.17673588,-0.06275515,-0.06275515,-0.15593342,-0.15593342,0.3482539,0.3482539,-0.26270056,-0.26270056,-0.15874319,-0.15874319,0.5803866,0.5803866,-0.5983236,-0.5983236,-0.03431757,-0.03431757
21,1.0,1.0,2.1,0.9641645,0.9641645,-0.07409748,-0.07409748,0.0020179753,0.0020179753,0.86217916,0.86217916,-0.13327502,-0.13327502,0.0073105907,0.0073105907,0.70961064,0.70961064,-0.16606438,-0.16606438,0.013792931,0.013792931,0.52926815,0.52926815,-0.16717517,-0.16717517,0.018610366,0.018610366,0.34712338,0.34712338,-0.13891482,-0.13891482,0.018926578,0.018926578
22,1.0,1.0,2.2,0.9733162,0.9733162,-0.07127925,-0.07127925,-0.009223545,-0.009223545,0.89643145,0.89643145,-0.13145334,-0.13145334,-0.035279494,-0.035279494,0.7784429,0.7784429,-0.17146033,-0.17146033,-0.07358214,-0.07358214,0.6332229,0.6332229,-0.18597965,-0.18597965,-0.11730957,-0.11730957,0.477663,0.477663,-0.17449506,-0.17449506,-0.15850025,-0.15850025
23,1.0,1.0,2.3,0.74750036,0.74750036,-0.060903225,-0.060903225,-0.05501324,-0.05501324,0.2617241,0.2617241,-0.057844162,-0.057844162,-0.16221929,-0.16221929,0.06538799,0.06538799,0.010074109,0.010074109,-0.20888153,-0.20888153,0.36963218,0.36963218,0.07931175,0.07931175,-0.14583543,-0.14583543,0.8468369,0.8468369,0.08412529,0.08412529,-0.039217368,-0.039217368
24,1.0,1.0,2.4,0.36172155,0.36172155,-0.049988717,-0.049988717,-0.11855549,-0.11855549,0.07848131,0.07848131,0.044292368,0.044292368,-0.19718361,-0.19718361,0.8629162,0.8629162,0.19037472,0.19037472,-0.044189405,-0.044189405,0.69215137,0.69215137,0.094208814,0.094208814,-0.008562739,-0.008562739,-0.0077591524,-0.0077591524,-0.017200846,-0.017200846,-0.17355661,-0.17355661
25,1.0,1.0,2.5,0.013884082,0.013884082,-0.033020765,-0.033020765,-0.1727251,-0.1727251,0.73311275,0.73311275,0.2034945,0.2034945,-0.07591678,-0.07591678,0.42130738,0.42130738,0.068619914,0.068619914,-0.02476596,-0.02476596,0.19487691,0.19487691,0.13017884,0.13017884,-0.18199864,-0.18199864,0.7945877,0.7945877,0.39973226,0.39973226,0.07149083,0.07149083
26,1.0,1.0,2.6,-0.08355809,-0.08355809,0.008211701,0.008211701,-0.19103603,-0.19103603,0.8774094,0.8774094,0.21787225,0.21787225,0.025805645,0.025805645,0.045375176,0.045375176,0.06585883,0.06585883,-0.1844286,-0.1844286,0.56006014,0.56006014,0.31535172,0.31535172,0.09121126,0.09121126,0.22761492,0.22761492,0.21970287,0.21970287,-0.15879141,-0.15879141
27,1.0,1.0,2.7,0.15021856,0.15021856,0.08562238,0.08562238,-0.16100952,-0.16100952,0.0696701,0.0696701,-0.008269605,-0.008269605,-0.061352286,-0.061352286,0.86243266,0.86243266,0.48480853,0.48480853,0.042875424,0.042875424,0.105692185,0.105692185,0.13297045,0.13297045,-0.16273464,-0.16273464,-0.10185854,-0.10185854,-0.017022546,-0.017022546,0.11299928,0.11299928
28,1.0,1.0,2.8,0.5817456,0.5817456,0.18135154,0.18135154,-0.093252935,-0.093252935,-0.096527964,-0.096527964,0.007187972,0.007187972,-0.1744109,-0.1744109,-0.16200918,-0.16200918,-0.07988047,-0.07988047,-0.019433368,-0.019433368,0.31173256,0.31173256,0.36621478,0.36621478,0.17725211,0.17725211,0.5356251,0.5356251,0.7980332,0.7980332,0.11104757,0.11104757
29,1.0,1.0,2.9,0.9216023,0.9216023,0.24489497,0.24489497,-0.01952779,-0.01952779,0.7083835,0.7083835,0.39183,0.39183,-0.06754665,-0.06754665,0.41868696,0.41868696,0.37894738,0.37894738,-0.116778046,-0.116778046,0.12729254,0.12729254,0.20308876,0.20308876,-0.13473584,-0.13473584,-0.09951445,-0.09951445,-0.07949654,-0.07949654,-0.09778091,-0.09778091
30,1.0,1.0,3.0,0.908949,0.908949,0.22371036,0.22371036,0.022160199,0.022160199,0.6626128,0.6626128,0.36309415,0.36309415,0.08197472,0.08197472,0.33270332,0.33270332,0.36118686,0.36118686,0.16147663,0.16147663,0.012576498,0.012576498,0.20662625,0.20662625,0.2368352,0.2368352,-0.21267036,-0.21267036,-0.06323088,-0.06323088,0.2854497,0.2854497
31,1.0,1.0,3.1,0.50547934,0.50547934,0.11056676,0.11056676,0.00926225,0.00926225,-0.24054496,-0.24054496,-0.10912455,-0.10912455,-0.022665098,-0.022665098,-0.23748241,-0.23748241,-0.15016352,-0.15016352,-0.11253059,-0.11253059,0.21940957,0.21940957,0.41221696,0.41221696,-0.093207344,-0.093207344,0.22647579,0.22647579,0.8794566,0.8794566,0.14045642,0.14045642
32,1.0,1.0,3.2,-0.048138566,-0.048138566,-0.031942505,-0.031942505,-0.049549937,-0.049549937,-0.03302,-0.03302,0.049121156,0.049121156,-0.15222561,-0.15222561,0.6116358,0.6116358,0.75983644,0.75983644,0.08913708,0.08913708,-0.2494828,-0.2494828,-0.13942544,-0.13942544,0.2400798,0.2400798,-0.110705696,-0.110705696,-0.2157276,-0.2157276,-0.06553837,-0.06553837
33,1.0,1.0,3.3,-0.37848967,-0.37848967,-0.10085259,-0.10085259,-0.11643956,-0.11643956,0.7691017,0.7691017,0.5856749,0.5856749,0.002397704,0.002397704,-0.36131057,-0.36131057,-0.2778667,-0.2778667,0.08745126,0.08745126,0.27856937,0.27856937,0.7172826,0.7172826,-0.007297449,-0.007297449,-0.2803576,-0.2803576,-0.36796653,-0.36796653,0.31144285,0.31144285
34,1.0,1.0,3.4,-0.24461184,-0.24461184,-0.026619093,-0.026619093,-0.14617965,-0.14617965,0.24240084,0.24240084,0.23755696,0.23755696,0.123377144,0.123377144,0.3377783,0.3377783,0.52349126,0.52349126,-0.074987344,-0.074987344,-0.3641227,-0.3641227,-0.5090661,-0.5090661,0.16249573,0.16249573,-0.03746323,-0.03746323,0.8264086,0.8264086,0.2189151,0.2189151
35,1.0,1.0,3.5,0.26793745,0.26793745,0.16172265,0.16172265,-0.11567619,-0.11567619,-0.44381854,-0.44381854,-0.26210326,-0.26210326,-0.055287987,-0.055287987,-0.029122382,-0.029122382,0.18818872,0.18818872,0.23630229,0.23630229,0.19868754,0.19868754,0.8979044,0.8979044,0.13456368,0.13456368,-0.03660035,-0.03660035,0.006324098,0.006324098,-0.07853259,-0.07853259
36,1.0,1.0,3.6,0.7840294,0.7840294,0.33910933,0.33910933,-0.041428912,-0.041428912,0.2925896,0.2925896,0.31443548,0.31443548,-0.11204324,-0.11204324,-0.13915075,-0.13915075,-0.107432574,-0.107432574,-0.105369955,-0.105369955,-0.27869368,-0.27869368,-0.59953827,-0.59953827,0.026520884,0.026520884,-0.17222759,-0.17222759,-0.7691904,-0.7691904,0.212567,0.212567
37,1.0,1.0,3.7,0.90347314,0.90347314,0.3679322,0.3679322,0.0291778,0.0291778,0.6441177,0.6441177,0.63641304,0.63641304,0.1058961,0.1058961,0.30244127,0.30244127,0.73862225,0.73862225,0.20171404,0.20171404,-0.017693305,-0.017693305,0.6617091,0.6617091,0.28105757,0.28105757,-0.22333013,-0.22333013,0.44961405,0.44961405,0.31422734,0.31422734
38,1.0,1.0,3.8,0.50785,0.50785,0.20773737,0.20773737,0.049410664,0.049410664,-0.2840686,-0.2840686,-0.14321321,-0.14321321,0.09637695,0.09637695,-0.4135711,-0.4135711,-0.52888113,-0.52888113,0.022376118,0.022376118,-0.088433325,-0.088433325,-0.18841456,-0.18841456,-0.07735718,-0.07735718,-0.11479471,-0.11479471,0.51735157,0.51735157,-0.030937323,-0.030937323
39,1.0,1.0,3.9,-0.12918043,-0.12918043,-0.03709297,-0.03709297,0.00666842,0.00666842,-0.2665767,-0.2665767,-0.15641414,-0.15641414,-0.11165639,-0.11165639,0.35571307,0.35571307,0.8605795,0.8605795,0.053623933,0.053623933,-0.21702836,-0.21702836,-0.03315052,-0.03315052,0.32748872,0.32748872,0.031275477,0.031275477,-0.7819803,-0.7819803,0.02720818,0.02720818
40,1.0,1.0,4.0,-0.5326116,-0.5326116,-0.18237731,-0.18237731,-0.06679029,-0.06679029,0.6160694,0.6160694,0.68296057,0.68296057,-0.0047862404,-0.0047862404,-0.37357402,-0.37357402,-0.4191835,-0.4191835,0.18630974,0.18630974,0.00955261,0.00955261,0.5239411,0.5239411,-0.044363864,-0.044363864,-0.13446952,-0.13446952,-0.34726474,-0.34726474,0.3118379,0.3118379
41,1.0,1.0,4.1,-0.38917282,-0.38917282,-0.104310974,-0.104310974,-0.115720145,-0.115720145,0.14561272,0.14561272,0.27992523,0.27992523,0.16750641,0.16750641,0.15627833,0.15627833,0.4701513,0.4701513,-0.06990527,-0.06990527,-0.2341803,-0.2341803,-0.72364503,-0.72364503,0.2095807,0.2095807,-0.32117784,-0.32117784,0.7303623,0.7303623,0.13198599,0.13198599
